D1BPM6_VEIPT,A0A2D3P600_9FUSO,C0EJJ1_NEIFL,L1MCS5_9BACT,C3JCB2_POREA,A0A7W4HJV8_9BACT,D6GSY8_FILAD,W1W7T9_9FIRM,U2MCA6_9BACT,E6KWI6_9PAST,A0A2W5KWT7_9CORY,A0A380N4Y6_9FIRM,D1BP93_VEIPT,A0A239YF41_9FIRM,A0A7W4HEW8_9BACT,E4LDI2_9FIRM,A0A3P2AFV8_9FIRM,A0A3P1ZCI1_9BACT,A0A069ZK08_9PORP,A0A2G6QS19_9SPIR,NUOD_NEIMB,D2NQS3_ROTMD,A7B9J2_9ACTO,X8ISL9_9STRE,E3H5W3_ROTDC,UPI000F66B8D6,F1ZRM2_9FLAO,C0EJZ3_NEIFL,A0A6L5DSP1_9BACT,A0A2I1Z7Q9_9MICC,label
0.014383596,0.013460893,0.014249671,0.015711445,0.014024808,0.013942596,0.014673385,0.0129775135,0.01568943,0.013522534,0.0144736925,0.014083796,0.01677449,0.014151977,0.012859316,0.014322735,0.014819566,0.013566247,0.013999024,0.013247552,0.012795518,0.014868115,0.017374583,0.01346433,0.015141495,0.014007987,0.014155975,0.013758194,0.014118886,0.016165549,0
0.014443977,0.014537941,0.014660226,0.015410348,0.01512011,0.013326317,0.018969214,0.012282518,0.014929879,0.013119985,0.01442407,0.013131542,0.015596637,0.013923148,0.013285716,0.0127777,0.014736155,0.013878441,0.013954931,0.01383357,0.013468024,0.014232968,0.017477024,0.013515193,0.014252721,0.014017917,0.01435157,0.013867501,0.013723202,0.015610328,1
0.01503835,0.013588072,0.0152529115,0.015677052,0.013570469,0.014191497,0.012739546,0.013044809,0.01467847,0.013543017,0.01412703,0.013519928,0.016602846,0.013654133,0.013512935,0.013955442,0.014621964,0.013270487,0.013718965,0.013308101,0.0129267955,0.015065787,0.017614553,0.013716922,0.01595427,0.013536561,0.014039981,0.013907732,0.014000881,0.015921976,1
0.014373546,0.014440441,0.013760622,0.013943292,0.014543269,0.013980658,0.01621846,0.012029081,0.015139538,0.013352494,0.013559167,0.013356575,0.015477345,0.013583206,0.013540479,0.013457434,0.014846507,0.013742563,0.013833762,0.013723681,0.013225776,0.013735253,0.017396465,0.013480951,0.014821229,0.0135339955,0.014620134,0.014530929,0.013809469,0.01521849,0
0.01595417,0.014907049,0.015308722,0.015381452,0.014132225,0.014414557,0.017053697,0.012299273,0.014944758,0.013744389,0.013645936,0.01338344,0.014032507,0.014030733,0.0136233745,0.013598469,0.014914913,0.013482416,0.013831227,0.013819264,0.012581351,0.01395918,0.01661073,0.013643536,0.014077337,0.01370372,0.01442481,0.014098913,0.013881542,0.01472028,0
0.01497935,0.015129981,0.014652927,0.015798384,0.013749206,0.012686335,0.017953284,0.0129788825,0.013778018,0.013407935,0.014743383,0.012842646,0.014474167,0.013657401,0.013649438,0.013229809,0.01474321,0.01381906,0.014192442,0.014083955,0.0135041885,0.014606163,0.01620414,0.013702423,0.016313052,0.01410109,0.013946333,0.01445909,0.01397049,0.016039507,1
0.015816553,0.013883076,0.014699841,0.015352722,0.014306168,0.013520934,0.01589098,0.013164067,0.015074371,0.013752178,0.01466487,0.014684,0.015809046,0.014565929,0.013458971,0.0149834305,0.014879895,0.013456774,0.013881788,0.013330704,0.012444184,0.0147819705,0.016670072,0.01355031,0.015641287,0.013629478,0.014135049,0.014004516,0.014618205,0.016067311,1
0.0155377,0.013527855,0.015064424,0.015341603,0.013603038,0.013277733,0.0135482345,0.013030973,0.015532899,0.013143342,0.014603458,0.013652957,0.016168442,0.013792469,0.0132499505,0.014043835,0.014702848,0.013300614,0.013812566,0.013694624,0.013022475,0.014939967,0.016173935,0.014054197,0.015882693,0.013470706,0.014123934,0.01451672,0.013819961,0.015568761,1
0.015026353,0.013440062,0.015128874,0.0156261,0.013595933,0.014709901,0.014051708,0.013866696,0.013956062,0.014011766,0.013736105,0.013390223,0.016237516,0.013074942,0.014012133,0.014118158,0.01450461,0.013473202,0.0137602985,0.0133663,0.012980734,0.01593186,0.017439,0.013863282,0.016718937,0.01379011,0.014347673,0.014197262,0.013656323,0.016607372,1
0.0143947555,0.014153548,0.015570934,0.016067743,0.015193321,0.012931926,0.013595712,0.012693054,0.01445519,0.013369628,0.014176606,0.013044139,0.015543162,0.0138739245,0.014357724,0.01282703,0.015061021,0.013885019,0.013753989,0.014078168,0.013416328,0.013937774,0.016768005,0.01382709,0.014562959,0.013677729,0.014351803,0.014337484,0.01417413,0.015532797,1
